CustomerID,Age,Gender,City,Income,Purchase
1001,56.0,Female,Incheon,32484.0,630.0
1002,69.0,Female,Seoul,60918.0,571.0
1003,46.0,Male,Seoul,50384.0,446.0
1004,32.0,Female,Daegu,44055.0,635.0
1005,60.0,Female,Incheon,18399.0,369.0
1006,,Male,Incheon,61675.0,466.0
1007,38.0,Female,Gwangju,67445.0,384.0
1008,56.0,Male,Incheon,65256.0,586.0
1009,36.0,Male,Incheon,37617.0,678.0
1010,40.0,Female,Incheon,49594.0,534.0
1011,28.0,male,Busan,50906.0,511.0
1012,28.0,Male,Gwangju,26671.0,369.0
1013,41.0,Male,Seoul,,395.0
1014,70.0,Male,Daegu,57852.0,321.0
1015,53.0,Female,Seoul,54174.0,173.0
1016,57.0,Male, Seoul ,31666.0,441.0
1017,41.0,Female,Daegu,34649.0,455.0
1018,20.0,Male,Gwangju,54487.0,826.0
1019,39.0,Male,Incheon,52594.0,734.0
1020,70.0,Male,Daegu,17950.0,583.0
1021,19.0,M,Incheon,15521.0,813.0
1022,41.0,Female,Seoul,44082.0,709.0
1023,61.0,Female,Seoul,37924.0,199.0
1024,,Male,Daegu,41420.0,660.0
1025,55.0,Male,Daegu,40065.0,607.0
1026,19.0,Female,Gwangju,56808.0,457.0
1027,38.0,Male,Gwangju,46243.0,288.0
1028,50.0,Male,Incheon,48212.0,589.0
1029,29.0,Male,Daegu,28892.0,188.0
1030,39.0,Female,Seoul,4631.0,497.0
1031,-5.0,Female,Gwangju,58483.0,407.0
1032,42.0,Female,Gwangju,70718.0,311.0
1033,66.0,Male,Seoul,40889.0,678.0
1034,44.0,Male,Gwangju,47992.0,494.0
1035,59.0,Female,Incheon,48894.0,526.0
1036,45.0,Female,Busan ,65104.0,636.0
1037,33.0,Female,Seoul,55668.0,499.0
1038,32.0,Female,Daegu,50953.0,568.0
1039,64.0,Male,Gwangju,45667.0,622.0
1040,68.0,Female,Gwangju,45723.0,585.0
1041,61.0,female,Seoul,27726.0,543.0
1042,72.0,Female,Incheon,40398.0,767.0
1043,69.0,Male,Busan,55634.0,686.0
1044,74.0,Female,Seoul,42196.0,487.0
1045,20.0,Female,Busan,,364.0
1046,54.0,Female,Busan,30886.0,596.0
1047,68.0,Female,Incheon,50346.0,532.0
1048,24.0,Male,Busan,27459.0,756.0
1049,38.0,Female,Busan,48479.0,648.0
1050,26.0,Male,Incheon,42753.0,615.0
1051,56.0,Male,Busan,24081.0,502.0
1052,35.0,Male,Busan,57834.0,369.0
1053,21.0,Male,Busan,43034.0,470.0
